"","strain","strain_2","ligand","pH","meds","dev"
"250","234","234-6-1000-1","1000","6",118.337303161621,72.0586383700841
"251","234","234-6-1000-2","1000","6",118.98307800293,69.5813878458551
"252","234","234-6-1000-3","1000","6",116.944606781006,66.509155874595
"253","234","234-7-0-1","0","7",143.768348693848,103.124800548761
"254","234","234-7-0-2","0","7",151.055633544922,110.956996111634
"255","234","234-7-0-3","0","7",140.425048828125,99.7709713690944
"256","234","234-7-0.01-1","0.01","7",164.839225769043,117.03274199097
"257","234","234-7-0.01-2","0.01","7",150.05428314209,104.299026271987
"258","234","234-7-0.01-3","0.01","7",146.634346008301,105.471118504209
"259","234","234-7-0.1-1","0.1","7",162.090873718262,112.48850866278
"260","234","234-7-0.1-2","0.1","7",146.832153320312,109.093200211155
"261","234","234-7-0.1-3","0.1","7",140.851486206055,101.859216922738
"262","234","234-7-1-1","1","7",193.902778625488,123.407529745109
"263","234","234-7-1-2","1","7",159.804618835449,113.254471969903
"264","234","234-7-1-3","1","7",155.009521484375,110.603240577343
"265","234","234-7-10-1","10","7",159.405395507812,111.817675667329
"266","234","234-7-10-2","10","7",152.062759399414,112.475625855345
"267","234","234-7-10-3","10","7",158.224456787109,112.663439219714
"268","234","234-7-100-1","100","7",162.025733947754,114.558718735044
"269","234","234-7-100-2","100","7",158.729431152344,113.19389729324
"270","234","234-7-100-3","100","7",162.34188079834,110.762134909504
"271","234","234-7-1000-1","1000","7",164.146797180176,112.000046617758
"272","234","234-7-1000-2","1000","7",168.505844116211,113.745708715058
"273","234","234-7-1000-3","1000","7",161.665649414062,110.985710844796
"274","234","234-media-0-1","0","media",82.0169067382812,39.9023181369271
"275","234","234-media-0-2","0","media",87.8331260681152,47.9957173864452
"276","234","234-media-0-3","0","media",87.8518447875977,47.1935081680198
"277","234","234-media-0.01-1","0.01","media",94.0371780395508,52.3746704515401
"278","234","234-media-0.01-2","0.01","media",94.5697288513184,52.0635829269003
"279","234","234-media-0.01-3","0.01","media",89.9098892211914,49.449159571151
"280","234","234-media-0.1-1","0.1","media",97.8915977478027,55.6874045443745
"281","234","234-media-0.1-2","0.1","media",96.704647064209,54.2270615968972
"282","234","234-media-0.1-3","0.1","media",95.7670097351074,54.2663852296405
"283","234","234-media-1-1","1","media",101.088855743408,54.245946453287
"284","234","234-media-1-2","1","media",104.41060256958,57.8341816578368
"285","234","234-media-1-3","1","media",99.0016288757324,54.6868807882542
"286","234","234-media-10-1","10","media",105.481925964355,58.4193116679347
"287","234","234-media-10-2","10","media",102.406837463379,57.8280371817365
"288","234","234-media-10-3","10","media",101.02364730835,59.1368015946115
"289","234","234-media-100-1","100","media",102.102363586426,57.3238619490631
"290","234","234-media-100-2","100","media",101.059356689453,56.7120789865959
"291","234","234-media-100-3","100","media",101.235675811768,59.8173987573763
"292","234","234-media-1000-1","1000","media",100.688877105713,56.5224723869381
"293","234","234-media-1000-2","1000","media",101.445896148682,57.1496752248287
"294","234","234-media-1000-3","1000","media",98.8173637390137,55.8436488156707
"295","control","control-control-0-1","0","control",6.37554240226746,13.0885805070111
"296","control","control-control-0-2","0","control",6.60002017021179,13.4697910551461
"297","control","control-control-0-3","0","control",6.78928518295288,14.6189228259185
"298","control","control-control-1000-1","1000","control",374.496688842773,226.605331014735
"299","control","control-control-1000-2","1000","control",372.540191650391,220.087358923929
"300","control","control-control-1000-3","1000","control",363.81640625,213.930489041286
